group,label,lambda_real,lambda_imag,zeta,freq_hz,lon_frac,lat_frac,oth_frac
0,roll,-21.416046124660582,0.0,1.0,0.0,0.004097481797631588,0.9946235435439182,0.00127897465795903
0,short-period,-0.7218815907977453,1.8235579784334508,0.36807338219085334,0.2902282662823476,0.8914884081766871,0.005275726620401495,0.10323586520230355
0,dutch-roll,-0.8416438269122428,1.087416300849269,0.612070036255549,0.17306767947886476,0.0026688609852512754,0.9284348758792763,0.06889626313461628
0,phugoid,-0.034985757413185346,0.19060805604706865,0.18053228806633773,0.03033621431302801,0.09139642066354019,7.631447341423905e-06,0.9085959478886131
0,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
1,roll,-21.533769442023317,0.0,1.0,0.0,0.004412796782717457,0.9942922583704241,0.0012949448463762383
1,short-period,-0.7254493453985451,1.817903643159034,0.3706364777008514,0.28932835087352526,0.8915198664908444,0.005510047604688646,0.10297008590385419
1,dutch-roll,-0.839547377842678,1.108214114859248,0.6038536803158505,0.17637775438405878,0.0029870231645516394,0.9317105451177309,0.06530243171685723
1,phugoid,-0.03373859924001297,0.1905338507655146,0.17436156883336199,0.030324404175665155,0.09112338051352294,8.373010464282114e-06,0.9088682464755069
1,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
2,roll,-21.661834487646676,0.0,1.0,0.0,0.004700422740683977,0.9939898405571914,0.0013097367016412166
2,short-period,-0.7192204199659354,1.7892207166754623,0.37296916795220336,0.2847633213413234,0.8891827630618341,0.005729964175306895,0.10508727276224192
2,dutch-roll,-0.8290991107383181,1.1225457146984432,0.5941089993530846,0.17865869934088172,0.003357787994879547,0.9329654378673755,0.0636767741368827
2,phugoid,-0.03233513904862199,0.19041123207312122,0.1674205185041734,0.030304888804655285,0.09079804787140047,7.586246602298666e-06,0.9091943658814907
2,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
3,roll,-21.796147465418745,0.0,1.0,0.0,0.00491754423000827,0.9937848779029125,0.001297577866587488
3,short-period,-0.7058416265707858,1.7420314704812483,0.37552811072697556,0.2772529195487338,0.8846803640387975,0.005923722532481718,0.10939591342810055
3,dutch-roll,-0.8121677609351567,1.128871969585296,0.5840110437849683,0.1796655540773836,0.0037850790913426134,0.9321486122530196,0.06406630865477542
3,phugoid,-0.030963813929775444,0.19017937033076554,0.1606977545985683,0.03026798686224548,0.09044311873649952,8.116922548337341e-06,0.9095487643404451
3,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
4,roll,-21.927530560449128,0.0,1.0,0.0,0.005067170365764517,0.9936632128646997,0.0012696167690358173
4,short-period,-0.6858748646353254,1.675134057716104,0.378913348166804,0.26660586562710226,0.8774177734700678,0.006122985911290093,0.11645924061802028
4,dutch-roll,-0.7882911746887221,1.1277724611837487,0.5729015053505275,0.1794905618803063,0.004346225852508449,0.9292158748645463,0.0664378992820848
4,phugoid,-0.02956256789029929,0.18985708952924088,0.15385560055865627,0.030216694279619212,0.09003866041589213,8.258172647445402e-06,0.9099530814109529
4,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
5,roll,-22.05444437593188,0.0,1.0,0.0,0.0051334237941419066,0.9936321577273693,0.0012344184779809603
5,short-period,-0.6597219865630474,1.587845048272102,0.3836834957767241,0.2527133882964942,0.8665007063794413,0.006357930338077816,0.1271413632818596
5,dutch-roll,-0.7581127834756615,1.1183909884656986,0.5610982688684389,0.17799745412374685,0.005075833812244674,0.9238167953720435,0.07110737081485556
5,phugoid,-0.028075814839416405,0.18934544442213883,0.14667460964976084,0.03013526343171514,0.08956148047028749,7.745724790789734e-06,0.9104307738044138
5,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
6,roll,-22.177523494408337,0.0,1.0,0.0,0.00511389003118649,0.993713561841071,0.0011725481272265726
6,short-period,-0.6287219336254861,1.480956419234638,0.3907802278422117,0.23570153462486593,0.8506616408445297,0.006698465342026674,0.14263989381282582
6,dutch-roll,-0.7216076233936134,1.1011560843803805,0.5481115694618791,0.17525443394485377,0.006169154517606126,0.9153919129092836,0.07843893257226153
6,phugoid,-0.026520826363158483,0.18866061047600158,0.13920556298969455,0.030026268723990265,0.0890143753349151,8.712126148012763e-06,0.9109769125384287
6,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
7,roll,-22.293690294173196,0.0,1.0,0.0,0.005013258519894802,0.9938791900100709,0.0011075514695104405
7,short-period,-0.5950356376623709,1.3569297170438401,0.40159981084573837,0.215962071895814,0.8279878761041837,0.007354878042249216,0.1646572458529572
7,dutch-roll,-0.6809561261524192,1.0765576425105914,0.5345680647764675,0.1713394703289182,0.007989469669531853,0.9034378210617069,0.08857270926792314
7,phugoid,-0.02478693871364121,0.18762900704592464,0.1309682252702483,0.029862083938782966,0.08832387540096202,8.414943692881911e-06,0.911667709654837
7,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
8,roll,-22.411136402559197,0.0,1.0,0.0,0.004841041705052044,0.9941264931096622,0.0010324651847540484
8,short-period,-0.5607668647289263,1.218108224594962,0.41817460608268947,0.19386794516518083,0.7954295670888699,0.008964732867406624,0.19560570004312816
8,dutch-roll,-0.6381050907685144,1.0460041523679284,0.5207845157191364,0.16647673134400387,0.011895098765708595,0.8860967018390714,0.10200819939439747
8,phugoid,-0.022770582392041015,0.1860766652397783,0.12146595503512181,0.029615021066966576,0.08742819303940559,7.941918923554361e-06,0.9125638650411633
8,spiral,0.0,0.0,,0.0,0.0,0.0,0.9999999999989999
9,roll,-22.528191202121736,0.0,1.0,0.0,0.004621490734100763,0.9944371305096363,0.0009413787557231575
