# AoA Mach CL CD
0.00000000 0.30000000 2.01494159 -1.94413622
0.00000000 0.50000000 1.13656275 -0.95774473
0.00000000 0.70000000 0.69597694 -0.59048337
0.00000000 0.85000000 0.41781343 -0.39221978
0.05235988 0.30000000 1.90631592 -2.12982717
0.05235988 0.50000000 1.01755021 -0.93313786
0.05235988 0.70000000 0.68553316 -0.48827261
0.05235988 0.85000000 0.36581666 -0.31542371
0.10471976 0.30000000 1.80921450 -2.38807124
0.10471976 0.50000000 0.89179380 -0.89887312
0.10471976 0.70000000 0.59948030 -0.31809472
0.10471976 0.85000000 0.28195357 -0.16984009
