 ---------------------------------------------------------------
Surface and Strip forces by surface

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     main_wing_1                             
     # chordwise = 10   # spanwise =100     First strip =  1
     Surface area =  17.880           ave. chord =  2.7158    
     CLsurf  =   0.097731     Clsurf  =  -0.011063
     CYsurf  =  -0.000120     Cmsurf  =  -0.055889
     CDsurf  =   0.002949     Cnsurf  =  -0.000287
     CDisurf =   0.000881     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.357538     cd_surf =   0.010788

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
     1   12.59      0.4115E-03   1.385       2.797      0.4604E-02   0.000      0.8007     -0.4900E-02  0.2865       0.000      0.3287E-02   0.000     -0.3488E-02  0.2622       0.000    
     2   12.59      0.3702E-02   1.385       2.797      0.1381E-01   0.000      0.8007      0.1369E-01  0.2865       0.000      0.3287E-02   0.000     -0.3488E-02  0.2622       0.000    
     3   12.59      0.1028E-01   1.385       2.797      0.2299E-01   0.000      0.8007      0.1518E-01  0.2865       0.000      0.3287E-02   0.000     -0.3487E-02  0.2622       0.000    
     4   12.59      0.2014E-01   1.385       2.797      0.3216E-01   0.000      0.8007      0.1559E-01  0.2865       0.000      0.3286E-02   0.000     -0.3486E-02  0.2622       0.000    
     5   12.59      0.3327E-01   1.385       2.797      0.4130E-01   0.000      0.8007      0.1575E-01  0.2865       0.000      0.3285E-02   0.000     -0.3484E-02  0.2622       0.000    
     6   12.59      0.4966E-01   1.385       2.797      0.5039E-01   0.000      0.8008      0.1584E-01  0.2865       0.000      0.3282E-02   0.000     -0.3479E-02  0.2621       0.000    
     7   12.59      0.6930E-01   1.385       2.797      0.5943E-01   0.000      0.8008      0.1589E-01  0.2865       0.000      0.3278E-02   0.000     -0.3471E-02  0.2621       0.000    
     8   12.59      0.9215E-01   1.385       2.797      0.6842E-01   0.000      0.8009      0.1592E-01  0.2865       0.000      0.3271E-02   0.000     -0.3457E-02  0.2621       0.000    
     9   12.59      0.1182       1.385       2.797      0.7734E-01   0.000      0.8010      0.1594E-01  0.2866       0.000      0.3261E-02   0.000     -0.3437E-02  0.2620       0.000    
    10   12.59      0.1474       1.385       2.797      0.8618E-01   0.000      0.8012      0.1595E-01  0.2866       0.000      0.3247E-02   0.000     -0.3409E-02  0.2619       0.000    
